model_file_name,accuracy_score
best_weights.h5,ERROR
vww_96.h5,0.979100
vww_finetuned_20251010_05892.h5,0.681900
vww_finetuned_20251010_08855.h5,0.985400
vww_finetuned_20251014_099317.h5,0.901900
vww_finetuned_20251016_090132.h5,1.000000
vww_finetuned_20251018_090215.h5,0.999700
vww_finetuned_20251018_090615.h5,0.996200
vww_finetuned_20251018_092599.h5,0.980300
vww_finetuned_20251019_092399.h5,0.980200
vww_finetuned_20251019_092965.h5,0.982900
vww_finetuned_20251019_093116.h5,0.964700
vww_finetuned_20251019_095266.h5,0.946900
vww_finetuned_20251020_094182.h5,0.968400
vww_finetuned_20251020_095383.h5,0.948700
vww_finetuned_20251020_096066.h5,0.941600
vww_finetuned_20251021_097400.h5,0.924100
vww_finetuned_20251021_097900.h5,0.925000
vww_finetuned_20251021_099400.h5,0.905300
vww_finetuned_20251025_098066.h5,0.917400
vww_finetuned_20251025_099417.h5,0.907800
vww_finetuned_20251025_099467.h5,0.909800
vww_finetuned_20251026_099133.h5,0.913900
vww_finetuned_20251026_099733.h5,0.903700
vww_finetuned_20251027_099733.h5,0.902500
vww_finetuned_20251027_099767.h5,0.905000
vww_finetuned_20251027_099800.h5,0.901200
vww_finetuned_20251027_099833.h5,0.901800
vww_finetuned_20251105_099783.h5,0.903500
vww_finetuned_20251105_099817.h5,0.902500
vww_finetuned_20251105_099833.h5,0.904500
vww_finetuned_20251105_099850.h5,0.902500
vww_finetuned_20251105_099883.h5,0.901500
vww_finetuned_20251106_099483.h5,0.902200
vww_finetuned_20251106_099750.h5,0.901600
vww_finetuned_20251107_099833.h5,0.900500
vww_finetuned_20251107_099950.h5,0.902300
vww_finetuned_20251109_086069.h5,0.989700
vww_finetuned_20251109_099833.h5,0.903700
vww_finetuned_20251111_099783.h5,0.901000
vww_finetuned_20251112_099883.h5,0.901800
vww_finetuned_20251113_095366.h5,0.955600
vww_finetuned_20251113_095516.h5,0.947600
vww_finetuned_20251113_098350.h5,0.904900
vww_finetuned_20251115_090132.h5,1.000000
vww_finetuned_20251115_091649.h5,0.992200
vww_finetuned_20251117_090132.h5,1.000000
vww_finetuned_20251117_090132.h5,1.000000
vww_finetuned_20251117_096066.h5,0.939500
vww_finetuned_20251117_091782.h5,0.991200
vww_finetuned_20251117_090132.h5,1.000000
vww_finetuned_20251117_090132.h5,1.000000
vww_finetuned_20251117_099767.h5,0.901100
vww_finetuned_20251117_090215.h5,0.999100
vww_finetuned_20251117_099783.h5,0.903100
vww_finetuned_20251117_099500.h5,0.905700
vww_finetuned_20251117_099350.h5,0.905300
vww_finetuned_20251118_096649.h5,0.940100
vww_finetuned_20251118_092182.h5,0.997300
vww_finetuned_20251118_099917.h5,0.902100
vww_finetuned_20251118_090398.h5,0.998100
vww_finetuned_20251118_082580.h5,0.979100
vww_finetuned_20251118_090132.h5,1.000000
vww_finetuned_20251118_090498.h5,0.997400
vww_finetuned_20251118_090332.h5,0.998000
vww_finetuned_20251118_091332.h5,0.999500
vww_finetuned_20251202_047000.h5,0.971200
vww_finetuned_20251202_055000.h5,0.929900
vww_finetuned_20251202_049000.h5,0.977900
vww_finetuned_20251202_051000.h5,0.976700
vww_finetuned_20251202_051000.h5,0.971800
vww_finetuned_20251202_046000.h5,0.971700
vww_finetuned_20251202_047000.h5,0.951700
vww_finetuned_20251202_069000.h5,0.782400
vww_finetuned_20251202_052000.h5,0.935100
vww_finetuned_20251202_050000.h5,0.896600
vww_finetuned_20251202_049000.h5,0.896300
vww_finetuned_20251202_049000.h5,0.960900
vww_finetuned_20251202_051000.h5,0.955700
vww_finetuned_20251202_048000.h5,0.944800
vww_finetuned_20251202_067000.h5,0.753800
vww_finetuned_20251202_071000.h5,0.819400
vww_finetuned_20251202_049000.h5,0.966900
vww_finetuned_20251202_050000.h5,0.969400
vww_finetuned_20251202_051000.h5,0.972000
vww_finetuned_20251202_055000.h5,0.895800
vww_finetuned_20251202_062000.h5,0.717800
vww_finetuned_20251202_078750.h5,0.706200
vww_finetuned_20251202_050250.h5,0.939000
vww_finetuned_20251202_073250.h5,0.636300
vww_finetuned_20251202_072000.h5,0.566200
vww_finetuned_20251202_080750.h5,0.884400
vww_finetuned_20251202_073000.h5,0.582800
vww_finetuned_20251202_049000.h5,0.968600
vww_finetuned_20251202_071750.h5,0.634700
vww_finetuned_20251202_075750.h5,0.729300
vww_finetuned_20251202_075750.h5,0.857000
vww_finetuned_20251203_073898.h5,0.704100
vww_finetuned_20251203_048136.h5,0.963000
vww_finetuned_20251203_075932.h5,0.703200
vww_finetuned_20251203_078305.h5,0.702900
vww_finetuned_20251203_086864.h5,0.876700
vww_finetuned_20251203_084576.h5,0.906200
vww_finetuned_20251203_079746.h5,0.738100
vww_finetuned_20251203_077542.h5,0.747600
vww_finetuned_20251203_047797.h5,0.963400
vww_finetuned_20251203_075000.h5,0.690000
